candidate,family,review_threshold,block_threshold,block_evidence,block_elevated_count,campaign_review_increment,campaign_block_increment,attack_devices,legitimate_devices,attack_review_or_higher_recall,attack_block_recall,attack_never_detected,legitimate_review_or_higher_rate,legitimate_block_rate,legitimate_reviewed_devices,legitimate_blocked_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt,eligible,constraint_failures
threshold_R0.60_B0.82,threshold,0.6,0.82,0,1,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E2,evidence_gated,0.6,0.82,2,1,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E3,evidence_gated,0.6,0.82,3,1,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N2E1,persistent,0.6,0.82,1,2,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N2E2,persistent,0.6,0.82,2,2,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N3E1,persistent,0.6,0.82,1,3,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N3E2,persistent,0.6,0.82,2,3,0.0,0.0,397,1769,0.8212,0.4005,71,0.0464,0.0017,82,3,4.0,5.0,7.0,9.0,True,
threshold_R0.60_B0.82_C0.05/0.02,threshold,0.6,0.82,0,1,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E2_C0.05/0.02,evidence_gated,0.6,0.82,2,1,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E3_C0.05/0.02,evidence_gated,0.6,0.82,3,1,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N2E1_C0.05/0.02,persistent,0.6,0.82,1,2,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N2E2_C0.05/0.02,persistent,0.6,0.82,2,2,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N3E1_C0.05/0.02,persistent,0.6,0.82,1,3,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
persistent_R0.60_B0.82_N3E2_C0.05/0.02,persistent,0.6,0.82,2,3,0.05,0.02,397,1769,0.8212,0.3602,71,0.0452,0.0017,80,3,4.0,5.0,7.0,9.0,True,
threshold_R0.60_B0.78_C0.10/0.05,threshold,0.6,0.78,0,1,0.1,0.05,397,1769,0.8136,0.5113,74,0.0435,0.0045,77,8,4.0,5.800000000000011,5.0,8.0,True,
evidence_gated_R0.60_B0.78_E2_C0.10/0.05,evidence_gated,0.6,0.78,2,1,0.1,0.05,397,1769,0.8136,0.5113,74,0.0435,0.0045,77,8,4.0,5.800000000000011,5.0,8.0,True,
evidence_gated_R0.60_B0.78_E3_C0.10/0.05,evidence_gated,0.6,0.78,3,1,0.1,0.05,397,1769,0.8136,0.5038,74,0.0435,0.0045,77,8,4.0,5.800000000000011,5.0,8.0,True,
persistent_R0.60_B0.78_N2E1_C0.10/0.05,persistent,0.6,0.78,1,2,0.1,0.05,397,1769,0.8136,0.5063,74,0.0435,0.0045,77,8,4.0,5.800000000000011,5.0,8.0,True,
persistent_R0.60_B0.78_N2E2_C0.10/0.05,persistent,0.6,0.78,2,2,0.1,0.05,397,1769,0.8136,0.5063,74,0.0435,0.0045,77,8,4.0,5.800000000000011,5.0,8.0,True,
persistent_R0.60_B0.78_N3E1_C0.10/0.05,persistent,0.6,0.78,1,3,0.1,0.05,397,1769,0.8136,0.4836,74,0.0435,0.0045,77,8,4.0,5.800000000000011,6.0,8.0,True,
persistent_R0.60_B0.78_N3E2_C0.10/0.05,persistent,0.6,0.78,2,3,0.1,0.05,397,1769,0.8136,0.4836,74,0.0435,0.0045,77,8,4.0,5.800000000000011,6.0,8.0,True,
threshold_R0.60_B0.80_C0.10/0.05,threshold,0.6,0.8,0,1,0.1,0.05,397,1769,0.8136,0.4131,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E2_C0.10/0.05,evidence_gated,0.6,0.8,2,1,0.1,0.05,397,1769,0.8136,0.4131,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E3_C0.10/0.05,evidence_gated,0.6,0.8,3,1,0.1,0.05,397,1769,0.8136,0.4106,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
persistent_R0.60_B0.80_N2E1_C0.10/0.05,persistent,0.6,0.8,1,2,0.1,0.05,397,1769,0.8136,0.4106,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
persistent_R0.60_B0.80_N2E2_C0.10/0.05,persistent,0.6,0.8,2,2,0.1,0.05,397,1769,0.8136,0.4106,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
persistent_R0.60_B0.80_N3E1_C0.10/0.05,persistent,0.6,0.8,1,3,0.1,0.05,397,1769,0.8136,0.4005,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
persistent_R0.60_B0.80_N3E2_C0.10/0.05,persistent,0.6,0.8,2,3,0.1,0.05,397,1769,0.8136,0.4005,74,0.0435,0.0034,77,6,4.0,5.800000000000011,6.0,8.0,True,
threshold_R0.60_B0.82_C0.10/0.05,threshold,0.6,0.82,0,1,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E2_C0.10/0.05,evidence_gated,0.6,0.82,2,1,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
evidence_gated_R0.60_B0.82_E3_C0.10/0.05,evidence_gated,0.6,0.82,3,1,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
persistent_R0.60_B0.82_N2E1_C0.10/0.05,persistent,0.6,0.82,1,2,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
persistent_R0.60_B0.82_N2E2_C0.10/0.05,persistent,0.6,0.82,2,2,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
persistent_R0.60_B0.82_N3E1_C0.10/0.05,persistent,0.6,0.82,1,3,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
persistent_R0.60_B0.82_N3E2_C0.10/0.05,persistent,0.6,0.82,2,3,0.1,0.05,397,1769,0.8136,0.33,74,0.0435,0.0017,77,3,4.0,5.800000000000011,7.0,9.0,True,
persistent_R0.65_B0.78_N3E1,persistent,0.65,0.78,1,3,0.0,0.0,397,1769,0.7884,0.5139,84,0.0367,0.0057,65,10,4.0,6.0,6.0,7.700000000000017,True,
persistent_R0.65_B0.78_N3E2,persistent,0.65,0.78,2,3,0.0,0.0,397,1769,0.7884,0.5139,84,0.0367,0.0057,65,10,4.0,6.0,6.0,7.700000000000017,True,
threshold_R0.65_B0.80,threshold,0.65,0.8,0,1,0.0,0.0,397,1769,0.7884,0.4987,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E2,evidence_gated,0.65,0.8,2,1,0.0,0.0,397,1769,0.7884,0.4987,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E3,evidence_gated,0.65,0.8,3,1,0.0,0.0,397,1769,0.7884,0.4962,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E1,persistent,0.65,0.8,1,2,0.0,0.0,397,1769,0.7884,0.4962,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E2,persistent,0.65,0.8,2,2,0.0,0.0,397,1769,0.7884,0.4962,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E1,persistent,0.65,0.8,1,3,0.0,0.0,397,1769,0.7884,0.4811,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E2,persistent,0.65,0.8,2,3,0.0,0.0,397,1769,0.7884,0.4811,84,0.0367,0.004,65,7,4.0,6.0,6.0,8.0,True,
threshold_R0.65_B0.82,threshold,0.65,0.82,0,1,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E2,evidence_gated,0.65,0.82,2,1,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E3,evidence_gated,0.65,0.82,3,1,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E1,persistent,0.65,0.82,1,2,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E2,persistent,0.65,0.82,2,2,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E1,persistent,0.65,0.82,1,3,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E2,persistent,0.65,0.82,2,3,0.0,0.0,397,1769,0.7884,0.4005,84,0.0367,0.0017,65,3,4.0,6.0,7.0,9.0,True,
threshold_R0.65_B0.78_C0.05/0.02,threshold,0.65,0.78,0,1,0.05,0.02,397,1769,0.7809,0.5466,87,0.035,0.0051,62,9,4.0,6.0,5.0,7.0,True,
evidence_gated_R0.65_B0.78_E2_C0.05/0.02,evidence_gated,0.65,0.78,2,1,0.05,0.02,397,1769,0.7809,0.5466,87,0.035,0.0051,62,9,4.0,6.0,5.0,7.0,True,
evidence_gated_R0.65_B0.78_E3_C0.05/0.02,evidence_gated,0.65,0.78,3,1,0.05,0.02,397,1769,0.7809,0.539,87,0.035,0.0051,62,9,4.0,6.0,5.0,7.0,True,
persistent_R0.65_B0.78_N2E1_C0.05/0.02,persistent,0.65,0.78,1,2,0.05,0.02,397,1769,0.7809,0.5416,87,0.035,0.0051,62,9,4.0,6.0,5.0,7.0,True,
persistent_R0.65_B0.78_N2E2_C0.05/0.02,persistent,0.65,0.78,2,2,0.05,0.02,397,1769,0.7809,0.5416,87,0.035,0.0051,62,9,4.0,6.0,5.0,7.0,True,
persistent_R0.65_B0.78_N3E1_C0.05/0.02,persistent,0.65,0.78,1,3,0.05,0.02,397,1769,0.7809,0.5088,87,0.035,0.0051,62,9,4.0,6.0,6.0,7.900000000000006,True,
persistent_R0.65_B0.78_N3E2_C0.05/0.02,persistent,0.65,0.78,2,3,0.05,0.02,397,1769,0.7809,0.5088,87,0.035,0.0051,62,9,4.0,6.0,6.0,7.900000000000006,True,
threshold_R0.65_B0.80_C0.05/0.02,threshold,0.65,0.8,0,1,0.05,0.02,397,1769,0.7809,0.4836,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E2_C0.05/0.02,evidence_gated,0.65,0.8,2,1,0.05,0.02,397,1769,0.7809,0.4836,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E3_C0.05/0.02,evidence_gated,0.65,0.8,3,1,0.05,0.02,397,1769,0.7809,0.4811,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E1_C0.05/0.02,persistent,0.65,0.8,1,2,0.05,0.02,397,1769,0.7809,0.4811,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E2_C0.05/0.02,persistent,0.65,0.8,2,2,0.05,0.02,397,1769,0.7809,0.4811,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E1_C0.05/0.02,persistent,0.65,0.8,1,3,0.05,0.02,397,1769,0.7809,0.466,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E2_C0.05/0.02,persistent,0.65,0.8,2,3,0.05,0.02,397,1769,0.7809,0.466,87,0.035,0.0034,62,6,4.0,6.0,6.0,8.0,True,
threshold_R0.65_B0.82_C0.05/0.02,threshold,0.65,0.82,0,1,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E2_C0.05/0.02,evidence_gated,0.65,0.82,2,1,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E3_C0.05/0.02,evidence_gated,0.65,0.82,3,1,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E1_C0.05/0.02,persistent,0.65,0.82,1,2,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E2_C0.05/0.02,persistent,0.65,0.82,2,2,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E1_C0.05/0.02,persistent,0.65,0.82,1,3,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E2_C0.05/0.02,persistent,0.65,0.82,2,3,0.05,0.02,397,1769,0.7809,0.3602,87,0.035,0.0017,62,3,4.0,6.0,7.0,9.0,True,
threshold_R0.65_B0.78_C0.10/0.05,threshold,0.65,0.78,0,1,0.1,0.05,397,1769,0.7708,0.5113,91,0.0328,0.0045,58,8,4.0,6.0,5.0,8.0,True,
evidence_gated_R0.65_B0.78_E2_C0.10/0.05,evidence_gated,0.65,0.78,2,1,0.1,0.05,397,1769,0.7708,0.5113,91,0.0328,0.0045,58,8,4.0,6.0,5.0,8.0,True,
evidence_gated_R0.65_B0.78_E3_C0.10/0.05,evidence_gated,0.65,0.78,3,1,0.1,0.05,397,1769,0.7708,0.5038,91,0.0328,0.0045,58,8,4.0,6.0,5.0,8.0,True,
persistent_R0.65_B0.78_N2E1_C0.10/0.05,persistent,0.65,0.78,1,2,0.1,0.05,397,1769,0.7708,0.5063,91,0.0328,0.0045,58,8,4.0,6.0,5.0,8.0,True,
persistent_R0.65_B0.78_N2E2_C0.10/0.05,persistent,0.65,0.78,2,2,0.1,0.05,397,1769,0.7708,0.5063,91,0.0328,0.0045,58,8,4.0,6.0,5.0,8.0,True,
persistent_R0.65_B0.78_N3E1_C0.10/0.05,persistent,0.65,0.78,1,3,0.1,0.05,397,1769,0.7708,0.4736,91,0.0328,0.0045,58,8,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.78_N3E2_C0.10/0.05,persistent,0.65,0.78,2,3,0.1,0.05,397,1769,0.7708,0.4736,91,0.0328,0.0045,58,8,4.0,6.0,6.0,8.0,True,
threshold_R0.65_B0.80_C0.10/0.05,threshold,0.65,0.8,0,1,0.1,0.05,397,1769,0.7708,0.4131,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E2_C0.10/0.05,evidence_gated,0.65,0.8,2,1,0.1,0.05,397,1769,0.7708,0.4131,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
evidence_gated_R0.65_B0.80_E3_C0.10/0.05,evidence_gated,0.65,0.8,3,1,0.1,0.05,397,1769,0.7708,0.4106,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E1_C0.10/0.05,persistent,0.65,0.8,1,2,0.1,0.05,397,1769,0.7708,0.4106,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N2E2_C0.10/0.05,persistent,0.65,0.8,2,2,0.1,0.05,397,1769,0.7708,0.4106,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E1_C0.10/0.05,persistent,0.65,0.8,1,3,0.1,0.05,397,1769,0.7708,0.3955,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
persistent_R0.65_B0.80_N3E2_C0.10/0.05,persistent,0.65,0.8,2,3,0.1,0.05,397,1769,0.7708,0.3955,91,0.0328,0.0034,58,6,4.0,6.0,6.0,8.0,True,
threshold_R0.65_B0.82_C0.10/0.05,threshold,0.65,0.82,0,1,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E2_C0.10/0.05,evidence_gated,0.65,0.82,2,1,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
evidence_gated_R0.65_B0.82_E3_C0.10/0.05,evidence_gated,0.65,0.82,3,1,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E1_C0.10/0.05,persistent,0.65,0.82,1,2,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N2E2_C0.10/0.05,persistent,0.65,0.82,2,2,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E1_C0.10/0.05,persistent,0.65,0.82,1,3,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
persistent_R0.65_B0.82_N3E2_C0.10/0.05,persistent,0.65,0.82,2,3,0.1,0.05,397,1769,0.7708,0.33,91,0.0328,0.0017,58,3,4.0,6.0,7.0,9.0,True,
threshold_R0.45_B0.70,threshold,0.45,0.7,0,1,0.0,0.0,397,1769,0.8665,0.7229,53,0.1023,0.0243,181,43,3.0,4.699999999999989,4.0,6.0,False,"legitimate block rate 0.0243 > 0.006; legitimate review+ rate 0.1023 > 0.06; block false positives are not materially rarer than review (block 0.0243, review 0.1023); repeated_genuine_failures block rate 0.3415 > 0.1; network_retry_storm block rate 0.1429 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015"
evidence_gated_R0.45_B0.70_E2,evidence_gated,0.45,0.7,2,1,0.0,0.0,397,1769,0.8665,0.7128,53,0.1023,0.0237,181,42,3.0,4.699999999999989,4.0,6.0,False,"legitimate block rate 0.0237 > 0.006; legitimate review+ rate 0.1023 > 0.06; block false positives are not materially rarer than review (block 0.0237, review 0.1023); repeated_genuine_failures block rate 0.3415 > 0.1; network_retry_storm block rate 0.1429 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015"
evidence_gated_R0.45_B0.70_E3,evidence_gated,0.45,0.7,3,1,0.0,0.0,397,1769,0.8665,0.6751,53,0.1023,0.022,181,39,3.0,4.699999999999989,4.0,6.0,False,"legitimate block rate 0.0220 > 0.006; legitimate review+ rate 0.1023 > 0.06; block false positives are not materially rarer than review (block 0.0220, review 0.1023); repeated_genuine_failures block rate 0.3171 > 0.1; network_retry_storm block rate 0.1429 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015"
persistent_R0.45_B0.70_N2E1,persistent,0.45,0.7,1,2,0.0,0.0,397,1769,0.8665,0.7128,53,0.1023,0.0237,181,42,3.0,4.699999999999989,4.0,6.0,False,"legitimate block rate 0.0237 > 0.006; legitimate review+ rate 0.1023 > 0.06; block false positives are not materially rarer than review (block 0.0237, review 0.1023); repeated_genuine_failures block rate 0.3415 > 0.1; network_retry_storm block rate 0.1429 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015"
persistent_R0.45_B0.70_N2E2,persistent,0.45,0.7,2,2,0.0,0.0,397,1769,0.8665,0.7078,53,0.1023,0.0237,181,42,3.0,4.699999999999989,4.0,6.0,False,"legitimate block rate 0.0237 > 0.006; legitimate review+ rate 0.1023 > 0.06; block false positives are not materially rarer than review (block 0.0237, review 0.1023); repeated_genuine_failures block rate 0.3415 > 0.1; network_retry_storm block rate 0.1429 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015"
persistent_R0.45_B0.70_N3E1,persistent,0.45,0.7,1,3,0.0,0.0,397,1769,0.8665,0.6373,53,0.1023,0.0187,181,33,3.0,4.699999999999989,5.0,6.0,False,legitimate block rate 0.0187 > 0.006; legitimate review+ rate 0.1023 > 0.06; repeated_genuine_failures block rate 0.2927 > 0.1; network_retry_storm block rate 0.1020 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015
persistent_R0.45_B0.70_N3E2,persistent,0.45,0.7,2,3,0.0,0.0,397,1769,0.8665,0.6373,53,0.1023,0.0187,181,33,3.0,4.699999999999989,5.0,6.0,False,legitimate block rate 0.0187 > 0.006; legitimate review+ rate 0.1023 > 0.06; repeated_genuine_failures block rate 0.2927 > 0.1; network_retry_storm block rate 0.1020 > 0.08; flash_sale_customer block rate 0.1026 > 0.04; cold_start_customer review+ rate 0.0543 > 0.04; returning_customer review+ rate 0.0240 > 0.015
