candidate,review_threshold,block_threshold,block_evidence,evidence_set,trust_suppression,campaign_review_increment,campaign_block_increment,attack_devices,legitimate_devices,attack_review_or_higher_recall,attack_block_recall,attack_never_detected,legitimate_review_or_higher_rate,legitimate_block_rate,legitimate_reviewed_devices,legitimate_blocked_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt,cumulative_attack_detection,eligible,constraint_failures
r0.75_b0.9_e2_v2_full_trust-none_camp0.0,0.75,0.9,2,v2_full,none,0.0,0.0,468,2133,0.8739,0.5919,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1603}}",True,
r0.75_b0.9_e2_v2_full_trust-moderate_camp0.0,0.75,0.9,2,v2_full,moderate,0.0,0.0,468,2133,0.8739,0.5769,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1603}}",True,
r0.75_b0.9_e3_v1_like_trust-none_camp0.0,0.75,0.9,3,v1_like,none,0.0,0.0,468,2133,0.8739,0.4124,59,0.053,0.007,113,15,4.0,6.199999999999989,8.0,14.800000000000011,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0128}}",True,
r0.75_b0.9_e3_v1_like_trust-moderate_camp0.0,0.75,0.9,3,v1_like,moderate,0.0,0.0,468,2133,0.8739,0.3974,59,0.053,0.007,113,15,4.0,6.199999999999989,8.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0128}}",True,
r0.75_b0.9_e3_v2_long_horizon_trust-none_camp0.0,0.75,0.9,3,v2_long_horizon,none,0.0,0.0,468,2133,0.8739,0.5043,59,0.053,0.0089,113,19,4.0,6.199999999999989,8.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0726}}",True,
r0.75_b0.9_e3_v2_long_horizon_trust-moderate_camp0.0,0.75,0.9,3,v2_long_horizon,moderate,0.0,0.0,468,2133,0.8739,0.4893,59,0.053,0.0089,113,19,4.0,6.199999999999989,8.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0726}}",True,
r0.75_b0.9_e3_v2_full_trust-none_camp0.0,0.75,0.9,3,v2_full,none,0.0,0.0,468,2133,0.8739,0.5791,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1474}}",True,
r0.75_b0.9_e3_v2_full_trust-moderate_camp0.0,0.75,0.9,3,v2_full,moderate,0.0,0.0,468,2133,0.8739,0.5641,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1474}}",True,
r0.75_b0.9_e1_v1_like_trust-none_camp0.05,0.75,0.9,1,v1_like,none,0.05,0.02,468,2133,0.8611,0.5085,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0556}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1303}}",True,
r0.75_b0.9_e1_v1_like_trust-moderate_camp0.05,0.75,0.9,1,v1_like,moderate,0.05,0.02,468,2133,0.8611,0.4979,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0556}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1303}}",True,
r0.75_b0.9_e1_v2_long_horizon_trust-none_camp0.05,0.75,0.9,1,v2_long_horizon,none,0.05,0.02,468,2133,0.8611,0.5214,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0662}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1432}}",True,
r0.75_b0.9_e1_v2_long_horizon_trust-moderate_camp0.05,0.75,0.9,1,v2_long_horizon,moderate,0.05,0.02,468,2133,0.8611,0.5107,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0662}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1432}}",True,
r0.75_b0.9_e1_v2_full_trust-none_camp0.05,0.75,0.9,1,v2_full,none,0.05,0.02,468,2133,0.8611,0.5278,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0043}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0385}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e1_v2_full_trust-moderate_camp0.05,0.75,0.9,1,v2_full,moderate,0.05,0.02,468,2133,0.8611,0.5171,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0043}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0385}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e2_v1_like_trust-none_camp0.05,0.75,0.9,2,v1_like,none,0.05,0.02,468,2133,0.8611,0.3953,65,0.0516,0.0089,110,19,4.0,6.800000000000011,9.0,14.599999999999994,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0214}}",True,
r0.75_b0.9_e2_v1_like_trust-moderate_camp0.05,0.75,0.9,2,v1_like,moderate,0.05,0.02,468,2133,0.8611,0.3846,65,0.0516,0.0089,110,19,4.0,6.800000000000011,9.0,14.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0214}}",True,
r0.75_b0.9_e2_v2_long_horizon_trust-none_camp0.05,0.75,0.9,2,v2_long_horizon,none,0.05,0.02,468,2133,0.8611,0.5043,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.047}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1261}}",True,
r0.75_b0.9_e2_v2_long_horizon_trust-moderate_camp0.05,0.75,0.9,2,v2_long_horizon,moderate,0.05,0.02,468,2133,0.8611,0.4936,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.047}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1261}}",True,
r0.75_b0.9_e2_v2_full_trust-none_camp0.05,0.75,0.9,2,v2_full,none,0.05,0.02,468,2133,0.8611,0.5278,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0043}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0385}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e2_v2_full_trust-moderate_camp0.05,0.75,0.9,2,v2_full,moderate,0.05,0.02,468,2133,0.8611,0.5171,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0043}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0385}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0769}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e3_v1_like_trust-none_camp0.05,0.75,0.9,3,v1_like,none,0.05,0.02,468,2133,0.8611,0.3632,65,0.0516,0.007,110,15,4.0,6.800000000000011,9.0,15.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0128}}",True,
r0.75_b0.9_e3_v1_like_trust-moderate_camp0.05,0.75,0.9,3,v1_like,moderate,0.05,0.02,468,2133,0.8611,0.3526,65,0.0516,0.007,110,15,4.0,6.800000000000011,9.0,15.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0128}}",True,
r0.75_b0.9_e3_v2_long_horizon_trust-none_camp0.05,0.75,0.9,3,v2_long_horizon,none,0.05,0.02,468,2133,0.8611,0.4509,65,0.0516,0.0089,110,19,4.0,6.800000000000011,8.0,14.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0726}}",True,
r0.75_b0.9_e3_v2_long_horizon_trust-moderate_camp0.05,0.75,0.9,3,v2_long_horizon,moderate,0.05,0.02,468,2133,0.8611,0.4402,65,0.0516,0.0089,110,19,4.0,6.800000000000011,8.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.0726}}",True,
r0.75_b0.9_e3_v2_full_trust-none_camp0.05,0.75,0.9,3,v2_full,none,0.05,0.02,468,2133,0.8611,0.5192,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0641}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.141}}",True,
r0.75_b0.9_e3_v2_full_trust-moderate_camp0.05,0.75,0.9,3,v2_full,moderate,0.05,0.02,468,2133,0.8611,0.5085,65,0.0516,0.0089,110,19,4.0,6.800000000000011,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1838, 'block_rate': 0.0021}, '3': {'review_or_higher_rate': 0.2863, 'block_rate': 0.0641}, '5': {'review_or_higher_rate': 0.6987, 'block_rate': 0.141}}",True,
r0.5_b0.75_e1_v1_like_trust-none_camp0.0,0.5,0.75,1,v1_like,none,0.0,0.0,468,2133,0.9423,0.8013,27,0.1092,0.0516,233,110,3.0,4.0,4.0,7.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0256}, '3': {'review_or_higher_rate': 0.6474, 'block_rate': 0.1966}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6517}}",False,"legitimate block rate 0.0516 > 0.01; legitimate review+ rate 0.1092 > 0.06; block false positives are not materially rarer than review (block 0.0516, review 0.1092); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1429 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v1_like_trust-none_camp0.05,0.5,0.75,1,v1_like,none,0.05,0.02,468,2133,0.9423,0.7991,27,0.1069,0.0506,228,108,3.0,4.0,4.0,7.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0235}, '3': {'review_or_higher_rate': 0.6303, 'block_rate': 0.1966}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6474}}",False,"legitimate block rate 0.0506 > 0.01; legitimate review+ rate 0.1069 > 0.06; block false positives are not materially rarer than review (block 0.0506, review 0.1069); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1429 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v1_like_trust-moderate_camp0.0,0.5,0.75,1,v1_like,moderate,0.0,0.0,468,2133,0.9423,0.7863,27,0.1092,0.0511,233,109,3.0,4.0,4.0,6.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0256}, '3': {'review_or_higher_rate': 0.6474, 'block_rate': 0.1966}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6517}}",False,"legitimate block rate 0.0511 > 0.01; legitimate review+ rate 0.1092 > 0.06; block false positives are not materially rarer than review (block 0.0511, review 0.1092); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1429 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v1_like_trust-moderate_camp0.05,0.5,0.75,1,v1_like,moderate,0.05,0.02,468,2133,0.9423,0.7842,27,0.1069,0.0502,228,107,3.0,4.0,4.0,6.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0235}, '3': {'review_or_higher_rate': 0.6303, 'block_rate': 0.1966}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6474}}",False,"legitimate block rate 0.0502 > 0.01; legitimate review+ rate 0.1069 > 0.06; block false positives are not materially rarer than review (block 0.0502, review 0.1069); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1429 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v2_long_horizon_trust-none_camp0.0,0.5,0.75,1,v2_long_horizon,none,0.0,0.0,468,2133,0.9423,0.8248,27,0.1092,0.0525,233,112,3.0,4.0,4.0,7.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0256}, '3': {'review_or_higher_rate': 0.6474, 'block_rate': 0.2265}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6752}}",False,"legitimate block rate 0.0525 > 0.01; legitimate review+ rate 0.1092 > 0.06; block false positives are not materially rarer than review (block 0.0525, review 0.1092); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1587 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v2_long_horizon_trust-none_camp0.05,0.5,0.75,1,v2_long_horizon,none,0.05,0.02,468,2133,0.9423,0.8184,27,0.1069,0.0516,228,110,3.0,4.0,4.0,7.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0235}, '3': {'review_or_higher_rate': 0.6303, 'block_rate': 0.2244}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6688}}",False,"legitimate block rate 0.0516 > 0.01; legitimate review+ rate 0.1069 > 0.06; block false positives are not materially rarer than review (block 0.0516, review 0.1069); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1587 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v2_long_horizon_trust-moderate_camp0.0,0.5,0.75,1,v2_long_horizon,moderate,0.0,0.0,468,2133,0.9423,0.8098,27,0.1092,0.052,233,111,3.0,4.0,4.0,6.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0256}, '3': {'review_or_higher_rate': 0.6474, 'block_rate': 0.2265}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6752}}",False,"legitimate block rate 0.0520 > 0.01; legitimate review+ rate 0.1092 > 0.06; block false positives are not materially rarer than review (block 0.0520, review 0.1092); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1587 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
r0.5_b0.75_e1_v2_long_horizon_trust-moderate_camp0.05,0.5,0.75,1,v2_long_horizon,moderate,0.05,0.02,468,2133,0.9423,0.8034,27,0.1069,0.0511,228,109,3.0,4.0,4.0,6.0,"{'1': {'review_or_higher_rate': 0.1132, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.2949, 'block_rate': 0.0235}, '3': {'review_or_higher_rate': 0.6303, 'block_rate': 0.2244}, '5': {'review_or_higher_rate': 0.8974, 'block_rate': 0.6688}}",False,"legitimate block rate 0.0511 > 0.01; legitimate review+ rate 0.1069 > 0.06; block false positives are not materially rarer than review (block 0.0511, review 0.1069); subscription_dunning block rate 0.2958 > 0.0600; subscription_dunning review+ rate 0.3944 > 0.3000; network_retry_storm block rate 0.1587 > 0.0600; network_retry_storm review+ rate 0.3016 > 0.3000; persistent_card_problem_customer block rate 0.1200 > 0.0600; micro_payment_customer block rate 0.1000 > 0.0600; household_shared_device block rate 0.0748 > 0.0600; mobile_network_churn block rate 0.0645 > 0.0600"
